time,diameter_m,length_km,elevation_m,material,fluid_density_kg_m3,fluid_viscosity_cp,chemical_aggressiveness_index,pressure_upstream_bar,pressure_downstream_bar,temp_upstream_C,temp_downstream_C,flow_inlet_m3_h,flow_outlet_m3_h,leak,leak_position_km
1.00,0.30,35.77,59.00,carbon_steel,902.52,6.30,0.15,79.50,71.47,62.52,59.00,3122.65,2959.03,TRUE,5.72
2.00,0.80,66.03,8.00,stainless_s,831.62,11.40,0.20,81.66,76.40,57.78,57.39,3147.58,3147.38,FALSE,
3.00,1.00,30.07,24.00,stainless_s,840.04,8.00,0.11,74.13,73.86,62.52,54.76,2922.78,2950.00,FALSE,
4.00,0.50,88.25,66.00,stainless_s,856.83,5.10,0.26,88.22,72.38,61.32,59.49,2852.42,2897.21,FALSE,
5.00,0.70,63.44,-13.00,stainless_s,805.73,4.60,0.73,72.23,79.97,55.78,58.45,2969.45,3030.94,FALSE,
6.00,0.30,25.34,79.00,stainless_s,807.85,3.50,0.67,75.97,74.87,58.92,57.24,3080.64,2971.16,TRUE,22.11
7.00,0.60,90.85,-8.00,stainless_s,841.62,7.10,0.98,78.73,70.61,56.16,54.48,3033.19,3006.12,FALSE,
8.00,0.60,65.39,5.00,carbon_steel,840.04,9.20,0.33,83.06,71.94,56.76,55.98,2835.51,3050.99,TRUE,57.06
9.00,1.00,23.52,7.00,stainless_s,835.12,3.90,0.91,77.23,81.13,59.77,58.68,2900.55,3059.84,TRUE,9.47
10.00,0.60,41.51,5.00,stainless_s,851.50,5.70,0.35,77.80,69.60,62.63,62.02,3035.85,2906.98,TRUE,17.58
11.00,0.40,34.82,-14.00,carbon_steel,861.56,11.20,0.55,79.25,79.21,61.00,58.92,2929.37,2919.60,FALSE,
12.00,0.70,11.31,-6.00,carbon_steel,832.51,6.40,0.80,76.94,77.62,57.14,62.93,3046.77,2968.12,TRUE,0.90
13.00,0.80,51.80,2.00,stainless_s,822.54,5.90,0.42,78.21,67.23,59.47,58.84,2922.78,3012.93,TRUE,10.36
14.00,0.30,74.17,20.00,carbon_steel,890.22,10.00,0.61,83.06,71.31,57.14,57.85,3030.55,3030.94,FALSE,
15.00,0.70,53.29,61.00,stainless_s,862.37,5.10,0.79,80.63,79.39,61.16,59.00,3035.85,2853.23,TRUE,55.63
16.00,0.80,79.90,53.00,carbon_steel,835.12,8.50,0.91,75.79,77.62,63.38,55.25,3010.04,2853.23,TRUE,121.12
17.00,0.90,16.33,26.00,carbon_steel,902.52,11.30,0.86,83.22,77.48,63.38,60.52,2947.56,2993.02,FALSE,
18.00,0.60,79.03,75.00,carbon_steel,877.46,8.70,0.46,75.97,79.77,60.53,56.51,2900.55,2883.59,FALSE,
19.00,0.80,12.71,-16.00,stainless_s,850.00,7.80,0.16,77.38,74.50,61.40,59.75,3140.51,2853.23,TRUE,1.38
20.00,1.00,13.43,18.00,carbon_steel,820.17,10.00,0.77,72.62,74.37,56.62,62.02,3052.44,2789.11,TRUE,15.86
21.00,0.30,54.19,-15.00,stainless_s,850.00,3.30,0.69,81.66,68.87,56.76,55.14,2966.81,2814.83,TRUE,24.12
22.00,0.90,83.46,36.00,carbon_steel,906.42,8.70,0.35,81.66,78.22,57.14,60.12,2984.90,2953.01,FALSE,
23.00,1.00,69.17,10.00,stainless_s,911.61,9.40,0.13,80.50,69.60,55.07,57.08,3058.28,2910.18,TRUE,54.04
24.00,0.40,94.71,40.00,carbon_steel,846.99,3.00,0.26,76.47,77.62,61.24,60.75,3108.03,2962.05,TRUE,34.57
25.00,0.90,43.79,-3.00,carbon_steel,911.61,7.60,0.59,85.18,72.09,61.57,60.12,2852.42,3118.61,TRUE,27.13
26.00,0.90,68.76,-19.00,stainless_s,#NUM!,3.10,0.51,77.80,74.37,55.78,56.92,3049.59,2865.24,TRUE,18.31
27.00,0.50,72.66,79.00,stainless_s,780.21,9.00,0.64,78.60,73.60,64.22,55.78,2844.52,3127.09,TRUE,29.26
28.00,0.60,28.54,33.00,stainless_s,868.38,9.00,0.87,83.69,74.62,61.40,58.92,2974.67,3030.94,FALSE,
