DATE,DAY,MONTH,YEAR,Well,i,j,k,X,Y,Z,t,BWSAT
1/1/1970,1,1,1970,VW1,33,28,1,684500,5991500,2135,0,0.15
1/1/1970,1,1,1970,VW1,33,28,2,684500,5991500,2163,0,0.15
1/1/1970,1,1,1970,VW1,33,28,3,684500,5991500,2198,0,0.15
1/1/1970,1,1,1970,VW1,33,28,4,684500,5991500,2240,0,0.15
1/1/1970,1,1,1970,VW1,33,28,5,684500,5991500,2283,0,1.00
1/1/1970,1,1,1970,VW1,33,28,6,684500,5991500,2320,0,1.00
1/1/1970,1,1,1970,VW10,19,22,1,642500,6003500,2128,0,0.15
1/1/1970,1,1,1970,VW10,19,22,2,642500,6003500,2154,0,0.15
1/1/1970,1,1,1970,VW10,19,22,3,642500,6003500,2189,0,0.15
1/1/1970,1,1,1970,VW10,19,22,4,642500,6003500,2232,0,0.15
1/1/1970,1,1,1970,VW10,19,22,5,642500,6003500,2272,0,0.31
1/1/1970,1,1,1970,VW10,19,22,6,642500,6003500,2302,0,1.00
1/1/1970,1,1,1970,VW11,28,4,1,669500,6039500,2182,0,0.15
1/1/1970,1,1,1970,VW11,28,4,2,669500,6039500,2211,0,0.15
1/1/1970,1,1,1970,VW11,28,4,3,669500,6039500,2243,0,0.15
1/1/1970,1,1,1970,VW11,28,4,4,669500,6039500,2281,0,1.00
1/1/1970,1,1,1970,VW11,28,4,5,669500,6039500,2322,0,1.00
1/1/1970,1,1,1970,VW11,28,4,6,669500,6039500,2359,0,1.00
1/1/1970,1,1,1970,VW12,22,4,1,651500,6039500,2191,0,0.15
1/1/1970,1,1,1970,VW12,22,4,2,651500,6039500,2220,0,0.15
1/1/1970,1,1,1970,VW12,22,4,3,651500,6039500,2251,0,0.15
1/1/1970,1,1,1970,VW12,22,4,4,651500,6039500,2288,0,1.00
1/1/1970,1,1,1970,VW12,22,4,5,651500,6039500,2328,0,1.00
1/1/1970,1,1,1970,VW12,22,4,6,651500,6039500,2366,0,1.00
1/1/1970,1,1,1970,VW13,28,8,1,669500,6031500,2131,0,0.15
1/1/1970,1,1,1970,VW13,28,8,2,669500,6031500,2158,0,0.15
1/1/1970,1,1,1970,VW13,28,8,3,669500,6031500,2193,0,0.15
1/1/1970,1,1,1970,VW13,28,8,4,669500,6031500,2236,0,0.15
1/1/1970,1,1,1970,VW13,28,8,5,669500,6031500,2278,0,0.86
1/1/1970,1,1,1970,VW13,28,8,6,669500,6031500,2312,0,1.00
1/1/1970,1,1,1970,VW14,20,10,1,645500,6027500,2138,0,0.15
1/1/1970,1,1,1970,VW14,20,10,2,645500,6027500,2165,0,0.15
1/1/1970,1,1,1970,VW14,20,10,3,645500,6027500,2200,0,0.15
1/1/1970,1,1,1970,VW14,20,10,4,645500,6027500,2243,0,0.15
1/1/1970,1,1,1970,VW14,20,10,5,645500,6027500,2285,0,1.00
1/1/1970,1,1,1970,VW14,20,10,6,645500,6027500,2319,0,1.00
1/1/1970,1,1,1970,VW15,34,12,1,687500,6023500,2131,0,0.15
1/1/1970,1,1,1970,VW15,34,12,2,687500,6023500,2158,0,0.15
1/1/1970,1,1,1970,VW15,34,12,3,687500,6023500,2193,0,0.15
1/1/1970,1,1,1970,VW15,34,12,4,687500,6023500,2235,0,0.15
1/1/1970,1,1,1970,VW15,34,12,5,687500,6023500,2281,0,1.00
1/1/1970,1,1,1970,VW15,34,12,6,687500,6023500,2322,0,1.00
1/1/1970,1,1,1970,VW16,37,12,1,696500,6023500,2155,0,0.15
1/1/1970,1,1,1970,VW16,37,12,2,696500,6023500,2181,0,0.15
1/1/1970,1,1,1970,VW16,37,12,3,696500,6023500,2216,0,0.15
1/1/1970,1,1,1970,VW16,37,12,4,696500,6023500,2257,0,0.15
1/1/1970,1,1,1970,VW16,37,12,5,696500,6023500,2300,0,1.00
1/1/1970,1,1,1970,VW16,37,12,6,696500,6023500,2336,0,1.00
1/1/1970,1,1,1970,VW17,39,9,1,702500,6029500,2241,0,0.15
1/1/1970,1,1,1970,VW17,39,9,2,702500,6029500,2274,0,0.53
1/1/1970,1,1,1970,VW17,39,9,3,702500,6029500,2307,0,1.00
1/1/1970,1,1,1970,VW17,39,9,4,702500,6029500,2347,0,1.00
1/1/1970,1,1,1970,VW17,39,9,5,702500,6029500,2388,0,1.00
1/1/1970,1,1,1970,VW17,39,9,6,702500,6029500,2423,0,1.00
1/1/1970,1,1,1970,VW18,42,18,1,711500,6011500,2220,0,0.15
1/1/1970,1,1,1970,VW18,42,18,2,711500,6011500,2243,0,0.15
1/1/1970,1,1,1970,VW18,42,18,3,711500,6011500,2264,0,0.18
1/1/1970,1,1,1970,VW18,42,18,4,711500,6011500,2295,0,1.00
1/1/1970,1,1,1970,VW18,42,18,5,711500,6011500,2335,0,1.00
1/1/1970,1,1,1970,VW18,42,18,6,711500,6011500,2375,0,1.00
1/1/1970,1,1,1970,VW19,42,22,1,711500,6003500,2215,0,0.15
1/1/1970,1,1,1970,VW19,42,22,2,711500,6003500,2237,0,0.15
1/1/1970,1,1,1970,VW19,42,22,3,711500,6003500,2259,0,0.15
1/1/1970,1,1,1970,VW19,42,22,4,711500,6003500,2290,0,1.00
1/1/1970,1,1,1970,VW19,42,22,5,711500,6003500,2330,0,1.00
1/1/1970,1,1,1970,VW19,42,22,6,711500,6003500,2370,0,1.00
1/1/1970,1,1,1970,VW2,25,10,1,660500,6027500,2121,0,0.15
1/1/1970,1,1,1970,VW2,25,10,2,660500,6027500,2146,0,0.15
1/1/1970,1,1,1970,VW2,25,10,3,660500,6027500,2181,0,0.15
1/1/1970,1,1,1970,VW2,25,10,4,660500,6027500,2224,0,0.15
1/1/1970,1,1,1970,VW2,25,10,5,660500,6027500,2265,0,0.18
1/1/1970,1,1,1970,VW2,25,10,6,660500,6027500,2296,0,1.00
1/1/1970,1,1,1970,VW20,38,22,1,699500,6003500,2164,0,0.15
1/1/1970,1,1,1970,VW20,38,22,2,699500,6003500,2187,0,0.15
1/1/1970,1,1,1970,VW20,38,22,3,699500,6003500,2219,0,0.15
1/1/1970,1,1,1970,VW20,38,22,4,699500,6003500,2258,0,0.15
1/1/1970,1,1,1970,VW20,38,22,5,699500,6003500,2300,0,1.00
1/1/1970,1,1,1970,VW20,38,22,6,699500,6003500,2337,0,1.00
1/1/1970,1,1,1970,VW21,34,22,1,687500,6003500,2126,0,0.15
1/1/1970,1,1,1970,VW21,34,22,2,687500,6003500,2152,0,0.15
1/1/1970,1,1,1970,VW21,34,22,3,687500,6003500,2187,0,0.15
1/1/1970,1,1,1970,VW21,34,22,4,687500,6003500,2229,0,0.15
1/1/1970,1,1,1970,VW21,34,22,5,687500,6003500,2268,0,0.21
1/1/1970,1,1,1970,VW21,34,22,6,687500,6003500,2295,0,1.00
1/1/1970,1,1,1970,VW22,39,27,1,702500,5993500,2177,0,0.15
1/1/1970,1,1,1970,VW22,39,27,2,702500,5993500,2196,0,0.15
1/1/1970,1,1,1970,VW22,39,27,3,702500,5993500,2225,0,0.15
1/1/1970,1,1,1970,VW22,39,27,4,702500,5993500,2260,0,0.15
