Well,i,j,k,X,Y,Z
VW1,33,28,1,684500,5991500,2135
VW1,33,28,2,684500,5991500,2163
VW1,33,28,3,684500,5991500,2198
VW1,33,28,4,684500,5991500,2240
VW1,33,28,5,684500,5991500,2283
VW1,33,28,6,684500,5991500,2320
VW10,19,22,1,642500,6003500,2128
VW10,19,22,2,642500,6003500,2154
VW10,19,22,3,642500,6003500,2189
VW10,19,22,4,642500,6003500,2232
VW10,19,22,5,642500,6003500,2272
VW10,19,22,6,642500,6003500,2302
VW11,28,4,1,669500,6039500,2182
VW11,28,4,2,669500,6039500,2211
VW11,28,4,3,669500,6039500,2243
VW11,28,4,4,669500,6039500,2281
VW11,28,4,5,669500,6039500,2322
VW11,28,4,6,669500,6039500,2359
VW12,22,4,1,651500,6039500,2191
VW12,22,4,2,651500,6039500,2220
VW12,22,4,3,651500,6039500,2251
VW12,22,4,4,651500,6039500,2288
VW12,22,4,5,651500,6039500,2328
VW12,22,4,6,651500,6039500,2366
VW13,28,8,1,669500,6031500,2131
VW13,28,8,2,669500,6031500,2158
VW13,28,8,3,669500,6031500,2193
VW13,28,8,4,669500,6031500,2236
VW13,28,8,5,669500,6031500,2278
VW13,28,8,6,669500,6031500,2312
VW14,20,10,1,645500,6027500,2138
VW14,20,10,2,645500,6027500,2165
VW14,20,10,3,645500,6027500,2200
VW14,20,10,4,645500,6027500,2243
VW14,20,10,5,645500,6027500,2285
VW14,20,10,6,645500,6027500,2319
VW15,34,12,1,687500,6023500,2131
VW15,34,12,2,687500,6023500,2158
VW15,34,12,3,687500,6023500,2193
VW15,34,12,4,687500,6023500,2235
VW15,34,12,5,687500,6023500,2281
VW15,34,12,6,687500,6023500,2322
VW16,37,12,1,696500,6023500,2155
VW16,37,12,2,696500,6023500,2181
VW16,37,12,3,696500,6023500,2216
VW16,37,12,4,696500,6023500,2257
VW16,37,12,5,696500,6023500,2300
VW16,37,12,6,696500,6023500,2336
VW17,39,9,1,702500,6029500,2241
VW17,39,9,2,702500,6029500,2274
VW17,39,9,3,702500,6029500,2307
VW17,39,9,4,702500,6029500,2347
VW17,39,9,5,702500,6029500,2388
VW17,39,9,6,702500,6029500,2423
VW18,42,18,1,711500,6011500,2220
VW18,42,18,2,711500,6011500,2243
VW18,42,18,3,711500,6011500,2264
VW18,42,18,4,711500,6011500,2295
VW18,42,18,5,711500,6011500,2335
VW18,42,18,6,711500,6011500,2375
VW19,42,22,1,711500,6003500,2215
VW19,42,22,2,711500,6003500,2237
VW19,42,22,3,711500,6003500,2259
VW19,42,22,4,711500,6003500,2290
VW19,42,22,5,711500,6003500,2330
VW19,42,22,6,711500,6003500,2370
VW2,25,10,1,660500,6027500,2121
VW2,25,10,2,660500,6027500,2146
VW2,25,10,3,660500,6027500,2181
VW2,25,10,4,660500,6027500,2224
VW2,25,10,5,660500,6027500,2265
VW2,25,10,6,660500,6027500,2296
VW20,38,22,1,699500,6003500,2164
VW20,38,22,2,699500,6003500,2187
VW20,38,22,3,699500,6003500,2219
VW20,38,22,4,699500,6003500,2258
VW20,38,22,5,699500,6003500,2300
VW20,38,22,6,699500,6003500,2337
VW21,34,22,1,687500,6003500,2126
VW21,34,22,2,687500,6003500,2152
VW21,34,22,3,687500,6003500,2187
VW21,34,22,4,687500,6003500,2229
VW21,34,22,5,687500,6003500,2268
VW21,34,22,6,687500,6003500,2295
VW22,39,27,1,702500,5993500,2177
VW22,39,27,2,702500,5993500,2196
VW22,39,27,3,702500,5993500,2225
VW22,39,27,4,702500,5993500,2260
